v,lam,g,Tc,Tn,Tp,high_vev,low_vev,DV,TpCond,ST_Tn,ST_Tp,dST_Tn,dST_Tp,alpha,betaH,fpeak,Ompeak,STfit,STfitCoeff,STfitError,TvsST
40.0,0.0001,0.2,3.2479100402760066,1.7310485411271992,1.7300149405149343,[1107.95381383],[39.86036065],77705522.82661821,"(np.True_, np.float64(-3.643904723846292e-12))",133.57715901728193,130.69407154572195,2796.653253157754,2782.078429692695,291226.72298961435,4813.03724905269,0.0182708334422622,6.386212938873348e-14,-2.11e+02(z-z0)^-3 + 2.18e+03(z-z0)^-2 + -4.34e-15(z-z0)^-1 + 2.74e+04 + 4.46e+04(z-z0) + 2.28e+04(z-z0)^2 + 3.76e+03(z-z0)^3,"(array([27439.32801525, 44555.53815759, 22769.15330746,  3758.90592418]), array([-4.33551203e-15,  2.18235131e+03, -2.11010657e+02]))",27167.97669893713,"           T            ST
0   0.883753 -1.217530e-39
1   0.944179  3.479442e-34
2   1.065030 -4.494840e-37
3   1.125456  5.376827e-37
4   1.246308 -9.319130e-18
5   1.276520 -5.625124e-35
6   1.306733 -2.365903e-36
7   1.367159  1.097746e-34
8   1.457798  2.732839e-35
9   1.488011 -2.678097e-39
10  1.518223  1.481038e-37
11  1.608862  1.162141e-38
12  1.669288  4.229699e-36
13  1.699501 -6.205608e-44
14  1.729713 -6.142369e-36
15  1.759926  2.243131e-39
16  1.820352  6.272635e+01
17  1.850565  2.178053e+02
18  1.880778  4.095682e+02
19  1.910991  6.277444e+02
20  1.941204  8.689479e+02
21  1.971416  1.132736e+03
22  2.001629  1.416785e+03
23  2.031842  1.720135e+03
24  2.062055  2.042814e+03
25  2.092268  2.384710e+03
26  2.122481  2.746481e+03
27  2.152694  3.129487e+03
28  2.182906  3.533843e+03
29  2.213119  3.961566e+03
30  2.243332  4.413889e+03
31  2.273545  4.893574e+03
32  2.303758  5.402840e+03
33  2.333971  5.945049e+03
34  2.364184  6.524394e+03
35  2.394397  7.142544e+03
36  2.424609  7.812851e+03
37  2.454822  8.533843e+03
38  2.485035  9.320109e+03
39  2.515248  1.016026e+04
40  2.545461  1.109559e+04
41  2.575674  1.210052e+04
42  2.605887  1.320318e+04
43  2.636099  1.443729e+04
44  2.666312  1.580704e+04
45  2.696525  1.738042e+04
46  2.726738  1.918345e+04
47  2.756951  2.127882e+04
48  2.787164  2.371921e+04
49  2.817377  2.661046e+04
50  2.847590  3.007723e+04
51  2.877802  3.421360e+04
52  2.908015  3.916018e+04
53  2.938228  4.566171e+04
54  2.968441  5.412533e+04"
40.0,0.0002154434690031,0.2,4.61277503942627,3.6107528269329374,3.599088028343453,[-4.22658619e-05],[37.27436588],27.72169252750446,"(np.True_, np.float64(-4.205916896914314e-14))",155.15933921995702,132.75633510773014,1988.93080558448,1852.9973618878903,0.0085566384258606,6669.100621722708,0.0022720396989323,3.878557326858673e-20,-6.54(z-z0)^-3 + 5.56e+02(z-z0)^-2 + -2.03e-17(z-z0)^-1 + 8.4e+03 + 2.04e+04(z-z0) + 1.53e+04(z-z0)^2 + 3.66e+03(z-z0)^3,"(array([ 8400.15837832, 20390.01964056, 15250.5585809 ,  3664.10482453]), array([-2.02933027e-17,  5.56070773e+02, -6.54241013e+00]))",1737.6670155350268,"           T            ST
0   2.908309  0.000000e+00
1   2.969731 -1.787701e-12
2   3.010679  7.422343e-35
3   3.092575  8.340841e-34
4   3.153998  1.521730e-40
5   3.194946  1.716318e-42
6   3.235894  6.517666e-35
7   3.256368 -1.323201e-35
8   3.297316  7.871040e-37
9   3.317790  1.365939e-39
10  3.420161  5.490931e-35
11  3.440635  0.000000e+00
12  3.502057  2.745947e-39
13  3.604427  4.348266e+01
14  3.624901  9.407402e+01
15  3.645375  1.491224e+02
16  3.665849  2.150862e+02
17  3.686323  2.865685e+02
18  3.706798  3.629343e+02
19  3.727272  4.461083e+02
20  3.747746  5.354220e+02
21  3.768220  6.338138e+02
22  3.788694  7.382038e+02
23  3.809168  8.498605e+02
24  3.829642  9.690668e+02
25  3.850116  1.096147e+03
26  3.870590  1.231600e+03
27  3.891064  1.375967e+03
28  3.911538  1.530440e+03
29  3.932012  1.695807e+03
30  3.952486  1.872796e+03
31  3.972960  2.062735e+03
32  3.993434  2.266775e+03
33  4.013909  2.486668e+03
34  4.034383  2.722899e+03
35  4.054857  2.980814e+03
36  4.075331  3.261433e+03
37  4.095805  3.567037e+03
38  4.116279  3.896530e+03
39  4.136753  4.255313e+03
40  4.157227  4.674680e+03
41  4.177701  5.110739e+03
42  4.198175  5.601814e+03
43  4.218649  6.154346e+03
44  4.239123  6.774633e+03
45  4.259597  7.484684e+03
46  4.280071  8.326861e+03
47  4.300545  9.304176e+03
48  4.321020  1.045579e+04
49  4.341494  1.184026e+04
50  4.361968  1.351965e+04
51  4.382442  1.555748e+04
52  4.402916  1.803698e+04
53  4.423390  2.151352e+04"
40.0,0.0004641588833612,0.2,6.505077093583154,5.860597182477212,5.8468577461896665,[0.00018848],[31.52419328],23.928237253499447,"(np.True_, np.float64(-1.5905777646590292e-13))",152.82942302427602,129.33626368271666,1787.8233176926542,1633.3697646684163,0.0020563212518511,9550.080660943522,0.0052769588033946,2.707105581614273e-22,-1.21e-17(z-z0)^-3 + 1.05e+02(z-z0)^-2 + -1.24e+02(z-z0)^-1 + 2.43e+03 + 8.99e+03(z-z0) + 9.36e+03(z-z0)^2 + 3.04e+03(z-z0)^3,"(array([2426.15946254, 8990.04262376, 9364.99796451, 3039.74801712]), array([-1.23850899e+02,  1.04798035e+02, -1.20719215e-17]))",250.79577942197253,"           T            ST
0   5.404160  4.435866e-36
1   5.457057  1.985562e-12
2   5.496729  2.178683e-37
3   5.549626  1.004078e-18
4   5.628972  1.387360e-34
5   5.642196  5.159778e-37
6   5.681869  2.540727e-17
7   5.695093  9.660822e-35
8   5.721541 -1.728201e-38
9   5.774438  1.651049e-17
10  5.800887  3.287891e+01
11  5.814111  5.235127e+01
12  5.827335  7.513017e+01
13  5.840559  9.764268e+01
14  5.853784  1.228615e+02
15  5.867008  1.511978e+02
16  5.880232  1.813890e+02
17  5.893456  2.130785e+02
18  5.906680  2.463623e+02
19  5.919905  2.815839e+02
20  5.933129  3.189952e+02
21  5.946353  3.595755e+02
22  5.959577  4.024934e+02
23  5.972802  4.483097e+02
24  5.986026  4.967148e+02
25  5.999250  5.485914e+02
26  6.012474  6.037401e+02
27  6.025699  6.623056e+02
28  6.038923  7.245499e+02
29  6.052147  7.909228e+02
30  6.065371  8.617226e+02
31  6.078596  9.374902e+02
32  6.091820  1.018873e+03
33  6.105044  1.106259e+03
34  6.118268  1.200863e+03
35  6.131492  1.303088e+03
36  6.144717  1.413379e+03
37  6.157941  1.533712e+03
38  6.171165  1.661431e+03
39  6.184389  1.805691e+03
40  6.197614  1.966953e+03
41  6.210838  2.137892e+03
42  6.224062  2.330163e+03
43  6.237286  2.545105e+03
44  6.250511  2.782011e+03
45  6.263735  3.052405e+03
46  6.276959  3.367522e+03
47  6.290183  3.727373e+03
48  6.303408  4.155564e+03
49  6.316632  4.658958e+03
50  6.329856  5.263092e+03
51  6.343080  5.988378e+03
52  6.356304  6.880184e+03
53  6.369529  7.968031e+03
54  6.382753  9.467723e+03"
40.0,0.001,0.2,9.252009340185545,8.891081621471603,8.877275078849932,[-0.00039751],[23.94398042],13.11572149670019,"(np.True_, np.float64(-5.84637999573943e-13))",150.66698587671883,125.7584599742471,1895.3199580662863,1715.064009423125,0.0005047825258825,15225.094989484352,0.0127680796733517,1.5904127660013584e-24,-0.113(z-z0)^-3 + 7.12(z-z0)^-2 + -2.36e+02(z-z0)^-1 + -8.89e+02 + -2.4e+03(z-z0) + -6.37e+03(z-z0)^2 + -6.24e+03(z-z0)^3,"(array([ -888.81319552, -2396.4674582 , -6366.19517183, -6236.55007153]), array([-2.35889076e+02,  7.11937048e+00, -1.12983355e-01]))",14.576655599725116,"           T           ST
0   8.791240    27.751357
1   8.798412    21.465424
2   8.805583    29.736844
3   8.812755    37.039160
4   8.819926    45.694642
5   8.827098    54.408441
6   8.834269    63.105485
7   8.841441    72.065478
8   8.848612    82.908694
9   8.855784    91.921474
10  8.862955   102.777877
11  8.870127   114.411084
12  8.877298   126.749975
13  8.884470   139.644445
14  8.891641   153.166256
15  8.898813   167.332536
16  8.905984   180.680932
17  8.913156   195.957576
18  8.920327   212.080796
19  8.927499   229.060529
20  8.934670   247.894888
21  8.941842   266.578295
22  8.949013   285.761940
23  8.956185   306.287273
24  8.963356   328.493596
25  8.970528   352.038115
26  8.977699   377.081242
27  8.984871   403.583196
28  8.992042   431.740714
29  8.999214   461.743621
30  9.006385   493.508769
31  9.013557   527.373576
32  9.020728   563.518661
33  9.027900   603.428788
34  9.035071   644.141584
35  9.042243   689.522662
36  9.049414   738.989634
37  9.056586   795.448812
38  9.063757   857.368120
39  9.070929   914.362154
40  9.078100   988.894421
41  9.085272  1060.672731
42  9.092443  1137.220399
43  9.099615  1228.331428
44  9.106786  1336.961722
45  9.113958  1458.104175
46  9.121129  1594.559616
47  9.128301  1752.438378
48  9.135472  1935.842678
49  9.142644  2151.077951
50  9.149815  2399.526921
51  9.156987  2695.974071
52  9.164158  3037.758141
53  9.171330  3494.922518
54  9.178501  4072.442428
55  9.185673  4803.829617"
40.0,0.0021544346900318,0.2,13.254012993409138,13.098073488444992,13.08561035035509,[-0.00012414],[16.15764444],4.186740252331219,"(np.True_, np.float64(-2.1478189610338856e-12))",148.50933943227682,122.07558639860012,2307.651583804817,1949.312107313076,0.0001085129673896,25507.93868752848,0.0315291478461936,5.64825294343261e-27,-0.00297(z-z0)^-3 + 1.25(z-z0)^-2 + -36.7(z-z0)^-1 + -1.28e+02 + -47.4(z-z0) + -1.19e+03(z-z0)^2 + -2.72e+03(z-z0)^3,"(array([ -127.78933127,   -47.42522204, -1187.8742449 , -2723.96098758]), array([-3.66825645e+01,  1.25090355e+00, -2.96730319e-03]))",2.4726991405416774,"            T           ST
0   13.013351    26.513392
1   13.016241    29.547103
2   13.019132    32.020990
3   13.022023    35.124464
4   13.024914    37.669470
..        ...          ...
70  13.215709  1729.860813
71  13.218600  1971.032980
72  13.221491  2272.665793
73  13.224382  2652.389323
74  13.227273  3147.254668

[75 rows x 2 columns]"
40.0,0.0004641588833612,0.3,4.674148199998597,2.436701908963133,2.412916538662846,[0.00047227],[39.89228113],88.38466238134832,"(np.True_, np.float64(-1.3952292111439553e-13))",157.7378051820662,135.27719744320405,971.2269962843122,917.6219151769574,1144.9276022740478,2214.1450953699555,0.002936086025489,3.008284739134386e-13,-1.93e+02(z-z0)^-3 + 2e+03(z-z0)^-2 + -1.16e-14(z-z0)^-1 + 8.56e+03 + 8.66e+03(z-z0) + 2.72e+03(z-z0)^2 + 2.74e+02(z-z0)^3,"(array([8555.25673431, 8658.78776081, 2722.83683685,  274.15472555]), array([-1.16177856e-14,  1.99589815e+03, -1.92739366e+02]))",4354.1296808598845,"           T            ST
0   0.952497  1.967210e-16
1   1.178737  2.947945e-36
2   1.631217 -9.613684e-38
3   1.721714  1.599936e-43
4   1.902706 -2.844212e-11
5   1.947954  6.134545e-37
6   2.445682  1.788125e+01
7   2.490930  7.288963e+01
8   2.536178  1.405055e+02
9   2.581426  2.164578e+02
10  2.626674  2.992961e+02
11  2.671922  3.890129e+02
12  2.717170  4.846712e+02
13  2.762418  5.859209e+02
14  2.807667  6.926553e+02
15  2.852915  8.048795e+02
16  2.898163  9.227996e+02
17  2.943411  1.046547e+03
18  2.988659  1.176519e+03
19  3.033907  1.312715e+03
20  3.079155  1.456255e+03
21  3.124403  1.607048e+03
22  3.169651  1.766140e+03
23  3.214899  1.934300e+03
24  3.260147  2.112830e+03
25  3.305395  2.301699e+03
26  3.350643  2.504668e+03
27  3.395891  2.721791e+03
28  3.441139  2.955353e+03
29  3.486387  3.202656e+03
30  3.531635  3.471521e+03
31  3.576883  3.776918e+03
32  3.622131  4.094113e+03
33  3.667379  4.443274e+03
34  3.712627  4.831327e+03
35  3.757875  5.259314e+03
36  3.803123  5.749559e+03
37  3.848371  6.304823e+03
38  3.893619  6.945913e+03
39  3.938868  7.685170e+03
40  3.984116  8.551066e+03
41  4.029364  9.577487e+03
42  4.074612  1.078878e+04
43  4.119860  1.218833e+04
44  4.165108  1.401925e+04
45  4.210356  1.639232e+04
46  4.255604  1.933201e+04"
40.0,0.001,0.3,6.656582336999391,5.305011653558265,5.280184843921971,[0.0002005],[37.20712797],120.7196696553268,"(np.True_, np.float64(-5.890607180026083e-14))",154.04299860400567,132.9420383172289,877.8948916607591,822.2566116321616,0.0083983898770872,4341.666898554774,0.002169925212432,8.659095272145719e-20,-1.36e-10(z-z0)^-3 + 3.77e+02(z-z0)^-2 + -7.16e+02(z-z0)^-1 + 4.88e+02 + 1.33e+03(z-z0) + 3.39e+02(z-z0)^2 + -42.0(z-z0)^3,"(array([ 488.25128133, 1327.65083525,  339.41809894,  -41.96797459]), array([-7.16441112e+02,  3.77181849e+02, -1.36325582e-10]))",149.62207141751375,"           T            ST
0   4.508316 -6.311502e-34
1   4.619553  3.131940e-18
2   4.647363  7.818635e-18
3   4.814218  2.250155e-18
4   5.008883  5.645248e-41
5   5.120120  1.218889e+01
6   5.147930  2.652508e+01
7   5.175739  4.315210e+01
8   5.203548  6.229075e+01
9   5.231357  8.350753e+01
10  5.259167  1.060721e+02
11  5.286976  1.301791e+02
12  5.314785  1.561177e+02
13  5.342594  1.837941e+02
14  5.370404  2.137430e+02
15  5.398213  2.452230e+02
16  5.426022  2.787356e+02
17  5.453832  3.139921e+02
18  5.481641  3.513370e+02
19  5.509450  3.908174e+02
20  5.537259  4.324909e+02
21  5.565069  4.766671e+02
22  5.592878  5.235230e+02
23  5.620687  5.733168e+02
24  5.648496  6.261333e+02
25  5.676306  6.822868e+02
26  5.704115  7.420874e+02
27  5.731924  8.058677e+02
28  5.759733  8.736562e+02
29  5.787543  9.469000e+02
30  5.815352  1.025832e+03
31  5.843161  1.110581e+03
32  5.870971  1.202385e+03
33  5.898780  1.297540e+03
34  5.926589  1.405532e+03
35  5.954398  1.526612e+03
36  5.982208  1.651789e+03
37  6.010017  1.791162e+03
38  6.037826  1.944938e+03
39  6.065635  2.115427e+03
40  6.093445  2.302696e+03
41  6.121254  2.522541e+03
42  6.149063  2.773577e+03
43  6.176872  3.060162e+03
44  6.204682  3.392050e+03
45  6.232491  3.780974e+03
46  6.260300  4.243568e+03
47  6.288110  4.786903e+03
48  6.315919  5.417874e+03
49  6.343728  6.242477e+03
50  6.371537  7.319143e+03
51  6.399347  8.640358e+03"
40.0,0.0021544346900318,0.3,9.370211573590204,8.57921821903164,8.550809102517855,[-0.00158827],[31.10299689],94.31494525165816,"(np.True_, np.float64(-2.2874345980419735e-13))",151.69338948918437,129.40335384828109,818.978240158873,751.0065054452493,0.0020148754266677,6421.713262811363,0.00518928790631,5.633606243596089e-22,-2.1(z-z0)^-3 + 17.7(z-z0)^-2 + -5.94e+02(z-z0)^-1 + -1.26e+03 + -1.84e+03(z-z0) + -1.91e+03(z-z0)^2 + -7.48e+02(z-z0)^3,"(array([-1259.09485333, -1838.28948065, -1912.34940992,  -748.17202661]), array([-593.58402005,   17.69253025,   -2.09666957]))",5.1154812503527936,"           T            ST
0   8.097281 -3.078294e-36
1   8.112948  1.971136e-38
2   8.175615  7.159232e-18
3   8.191282  1.088654e-18
4   8.285283 -1.455315e-14
..       ...           ...
60  9.162626  2.544625e+03
61  9.178293  2.896271e+03
62  9.193960  3.334922e+03
63  9.209626  3.877548e+03
64  9.225293  4.596647e+03

[65 rows x 2 columns]"
40.0,0.0046415888336127,0.3,13.270538803799504,12.901533319379748,12.874823779614587,[3.63476949e-06],[22.96935375],41.41415249728743,"(np.True_, np.float64(-8.657822820813498e-13))",149.46993735708395,125.6881278411733,961.2929171441052,824.5659826412126,0.0004865288630541,10616.141721170354,0.0129119523830607,2.9293264447006835e-24,-0.0744(z-z0)^-3 + 5.63(z-z0)^-2 + -1.1e+02(z-z0)^-1 + -3.18e+02 + -7.4e+02(z-z0) + -1.47e+03(z-z0)^2 + -1.05e+03(z-z0)^3,"(array([ -318.05136326,  -740.34456282, -1468.45605801, -1047.892425  ]), array([-1.10250585e+02,  5.63331092e+00, -7.44450623e-02]))",1.558148362076669,"            T           ST
0   12.702044    31.886755
1   12.708872    34.290612
2   12.715701    36.876911
3   12.722530    39.489401
4   12.729359    42.179032
..        ...          ...
70  13.180058  1744.965394
71  13.186886  1983.718543
72  13.193715  2283.983292
73  13.200544  2669.444264
74  13.207373  3175.718219

[75 rows x 2 columns]"
40.0,0.01,0.3,18.85296893118007,18.72848887082057,18.71317930540732,[-0.00014904],[14.94896302],9.772760423104046,"(np.True_, np.float64(-4.975064258120096e-12))",146.8439806011972,120.1488223610584,2000.756953813138,1516.8313230568515,0.0001024702553821,28384.73652442108,0.0501735320104192,3.841269780268609e-27,-6.79e-24(z-z0)^-3 + 0.939(z-z0)^-2 + -16.0(z-z0)^-1 + -92.5 + -1.08e+03(z-z0) + -7.71e+03(z-z0)^2 + -1.81e+04(z-z0)^3,"(array([   -92.48464469,  -1082.05827628,  -7712.11068524, -18141.11534813]), array([-1.60039620e+01,  9.38662052e-01, -6.78844470e-24]))",0.75907550998826,"            T           ST
0   18.671962    74.801391
1   18.674136    76.565599
2   18.676310    78.525618
3   18.678485    80.383312
4   18.680659    82.410335
..        ...          ...
70  18.824160  1619.254889
71  18.826334  1854.895434
72  18.828509  2152.179518
73  18.830683  2535.533094
74  18.832857  3043.075397

[75 rows x 2 columns]"
40.0,0.0215443469003188,0.3,26.49758189558948,26.46056024663324,26.454591246352464,[-0.00026568],[9.20395643],1.7719441152294166,"(np.True_, np.float64(-3.950313456246054e-11))",143.93820009212249,113.17393891263404,6293.386075140275,4215.894741280915,2.0830123272366065e-05,111529.77211823348,0.2786924704707335,2.1813034312398543e-30,-1.72e-24(z-z0)^-3 + 0.111(z-z0)^-2 + -1.98(z-z0)^-1 + 67.0 + 3.28e+03(z-z0) + 6.27e+04(z-z0)^2 + 4.42e+05(z-z0)^3,"(array([6.70255864e+01, 3.28250359e+03, 6.27433756e+04, 4.41843294e+05]), array([-1.98139344e+00,  1.11485108e-01, -1.71535785e-24]))",0.7255822734356876,"            T           ST
0   26.444002    79.229515
1   26.444645    80.799703
2   26.445289    82.416853
3   26.445933    84.082341
4   26.446576    85.804871
..        ...          ...
70  26.489054  1809.975104
71  26.489698  2091.332917
72  26.490341  2448.458605
73  26.490985  2906.773571
74  26.491629  3528.598160

[75 rows x 2 columns]"
40.0,0.0464158883361277,0.3,36.08826866555683,36.07630210627192,36.07454304113276,[0.00180861],[6.66039027],0.4926291238516569,"(np.True_, np.float64(-3.8990744121568457e-10))",140.98801842898672,105.14664484560126,24811.111062965025,16411.834001304793,6.453539246337937e-06,592049.4120639958,2.017393405296853,2.2092263096772806e-33,-1.5e-06(z-z0)^-3 + 0.015(z-z0)^-2 + -1.69(z-z0)^-1 + -3.63e+02 + -5.08e+04(z-z0) + -3.5e+06(z-z0)^2 + -8.75e+07(z-z0)^3,"(array([-3.63168416e+02, -5.08259033e+04, -3.49735045e+06, -8.75345747e+07]), array([-1.68634258e+00,  1.50306318e-02, -1.50313797e-06]))",15.067748641229946,"            T           ST
0   36.070074    65.638826
1   36.070293    67.198970
2   36.070511    68.841844
3   36.070730    70.526065
4   36.070948    72.271423
..        ...          ...
70  36.085373  2193.254352
71  36.085591  2554.638196
72  36.085810  3015.431022
73  36.086029  3616.023381
74  36.086247  4419.717431

[75 rows x 2 columns]"
40.0,0.001,0.4,5.085041588582261,0.1092768706553279,0.1842420021036099,[32520083.80088864],[40.00000019],3.637007469191968e+27,"(np.True_, np.float64(-0.0001576550575510634))",101.65728527005616,129.9929012887879,365.57423153878426,390.4375224819079,2.055855878457893e+28,71.9349908384399,14.990223457796109,2.8592298696046555e-10,-1.15e+03(z-z0)^-3 + 4.08e+03(z-z0)^-2 + -1.85e-13(z-z0)^-1 + 5.1e+03 + 1.82e+03(z-z0) + 1.64e+02(z-z0)^2 + 1.45(z-z0)^3,"(array([5.10016522e+03, 1.82142567e+03, 1.64334271e+02, 1.44853265e+00]), array([-1.85260568e-13,  4.08395464e+03, -1.15112532e+03]))",9528.534189364707,"           T            ST
0  -2.370790 -7.743759e-36
1  -1.645603  1.309093e-39
2  -1.554955 -5.030062e-36
3  -0.920416 -8.326537e-41
4  -0.739119  3.993458e-36
5  -0.557822 -7.036698e-38
6  -0.195229 -9.126756e-18
7   0.801904  5.610302e+01
8   0.892552  2.206100e+02
9   0.983201  3.746769e+02
10  1.073849  5.123184e+02
11  1.164498  6.363563e+02
12  1.255146  7.518439e+02
13  1.345795  8.596057e+02
14  1.436443  9.623391e+02
15  1.527091  1.061471e+03
16  1.617740  1.158350e+03
17  1.708388  1.254114e+03
18  1.799037  1.349828e+03
19  1.889685  1.446131e+03
20  1.980333  1.543833e+03
21  2.070982  1.643699e+03
22  2.161630  1.746672e+03
23  2.252279  1.853556e+03
24  2.342927  1.965273e+03
25  2.433575  2.083041e+03
26  2.524224  2.208672e+03
27  2.614872  2.340313e+03
28  2.705521  2.483117e+03
29  2.796169  2.637334e+03
30  2.886818  2.797738e+03
31  2.977466  2.982033e+03
32  3.068114  3.185266e+03
33  3.158763  3.401161e+03
34  3.249411  3.641064e+03
35  3.340060  3.908518e+03
36  3.430708  4.206361e+03
37  3.521356  4.563293e+03
38  3.612005  4.973892e+03
39  3.702653  5.450930e+03
40  3.793302  6.015135e+03
41  3.883950  6.694335e+03
42  3.974599  7.508106e+03
43  4.065247  8.468302e+03
44  4.155895  9.739421e+03
45  4.246544  1.139037e+04"
40.0,0.0021544346900318,0.4,7.47490625353432,5.457692604589195,5.417026349848606,[0.00826687],[38.72559842],321.2902026738923,"(np.True_, np.float64(-3.597851718039062e-14))",154.47253630612715,135.04598969236622,491.64058074842416,463.8948221225977,0.0162782299027437,2512.9304749964435,0.0012909983295233,1.8205104062607983e-18,-1.24e-08(z-z0)^-3 + 5.77e+02(z-z0)^-2 + -1.16e+03(z-z0)^-1 + -5.15e+02 + -2.6e+02(z-z0) + -2.61e+02(z-z0)^2 + -59.5(z-z0)^3,"(array([-515.06795084, -259.576625  , -260.70907571,  -59.54067038]), array([-1.16247645e+03,  5.76902982e+02, -1.24348823e-08]))",41.71004532426329,"           T            ST
0   4.289338 -1.297528e-37
1   4.330575  5.262103e-36
2   4.619235 -5.526622e-13
3   4.990369 -1.759476e-13
4   5.072844  7.416669e+00
5   5.114081  1.734137e+01
6   5.155318  2.921890e+01
7   5.196555  4.262656e+01
8   5.237792  5.706218e+01
9   5.279029  7.283321e+01
10  5.320266  8.967257e+01
11  5.361503  1.076661e+02
12  5.402741  1.266602e+02
13  5.443978  1.467056e+02
14  5.485215  1.678369e+02
15  5.526452  1.900835e+02
16  5.567689  2.135617e+02
17  5.608926  2.381504e+02
18  5.650163  2.640352e+02
19  5.691400  2.912270e+02
20  5.732638  3.198152e+02
21  5.773875  3.499003e+02
22  5.815112  3.816042e+02
23  5.856349  4.149475e+02
24  5.897586  4.501840e+02
25  5.938823  4.873752e+02
26  5.980060  5.268222e+02
27  6.021297  5.686400e+02
28  6.062535  6.128341e+02
29  6.103772  6.604436e+02
30  6.145009  7.109398e+02
31  6.186246  7.650253e+02
32  6.227483  8.226692e+02
33  6.268720  8.852087e+02
34  6.309957  9.530004e+02
35  6.351195  1.027587e+03
36  6.392432  1.102914e+03
37  6.433669  1.187820e+03
38  6.474906  1.281024e+03
39  6.516143  1.382802e+03
40  6.557380  1.494704e+03
41  6.598617  1.623363e+03
42  6.639854  1.768871e+03
43  6.681092  1.932581e+03
44  6.722329  2.119262e+03
45  6.763566  2.334338e+03
46  6.804803  2.584666e+03
47  6.846040  2.875462e+03
48  6.887277  3.216003e+03
49  6.928514  3.610825e+03
50  6.969751  4.113441e+03
51  7.010989  4.750362e+03
52  7.052226  5.528986e+03
53  7.093463  6.561028e+03"
40.0,0.0046415888336127,0.4,10.522499820123278,9.404536306884854,9.356582355521544,[0.00665591],[33.55424403],282.4146313286474,"(np.True_, np.float64(-1.6518769176887063e-13))",151.82617182963838,131.08730347033537,452.6979810895908,412.97680569894095,0.0033806633001973,3864.05149344236,0.0034178868805672,7.297921116585908e-21,-4.87(z-z0)^-3 + 37.5(z-z0)^-2 + -6.15e+02(z-z0)^-1 + -8.65e+02 + -8.55e+02(z-z0) + -5.82e+02(z-z0)^2 + -1.46e+02(z-z0)^3,"(array([-865.4664359 , -855.05119787, -581.5294918 , -146.14458631]), array([-615.41467799,   37.53331066,   -4.86726381]))",2.13829427754196,"            T            ST
0    8.722714 -4.350648e-19
1    8.830809 -3.524991e-36
2    8.852428  2.682667e+00
3    8.874047  5.235919e+00
4    8.895666  8.158940e+00
..        ...           ...
66  10.236047  2.150762e+03
67  10.257666  2.442563e+03
68  10.279285  2.814561e+03
69  10.300905  3.287411e+03
70  10.322524  3.907054e+03

[71 rows x 2 columns]"
